ID_Pedido,Tipo,Cantidad_Items,Horas_Estimadas_Proceso,Tasa_Error_Administrativo,Tiempo_Ciclo_Manual,Tiempo_Ciclo_Automatizado,Ahorro_Tiempo_Ciclo,Excede_Turno_Manual,Excede_Turno_Auto
PED-0020,VL,26,2.03,0.4,143.88577972943563,140.64249853819487,3.2432811912407544,False,False
PED-0042,PEGE,0,0.53,0.4,95.8884117499719,92.97772040865189,2.9106913413200033,False,False
PED-0048,VL,22,0.5,0.201,177.12617234850828,174.69357217131076,2.4326001771975143,False,False
PED-0013,PEGE,26,1.26,0.4,179.52189111050737,169.5239173531106,9.997973757396778,True,True
PED-0044,PEGE,0,2.51,0.4,59.709516949944984,36.930825670331636,22.778691279613348,True,True
PED-0006,VL,23,2.03,0.336,36.676664636423254,32.13486831949971,4.541796316923545,True,True
PED-0018,VL,42,2.99,0.4,57.04501629047914,54.09116256727658,2.9538537232025632,True,True
PED-0013,VL,53,1.18,0.125,232.6943689567615,228.516576429601,4.177792527160506,True,True
PED-0004,VL,2,3.8,0.4,69.25146798459743,63.19316503626413,6.058302948333292,True,True
PED-0033,VL,3,1.24,0.307,140.76157028121017,126.11142571969461,14.65014456151556,True,True
PED-0009,PEGE,0,2.75,0.232,41.17079517416264,33.13376645487791,8.037028719284734,True,True
PED-0035,VL,33,2.44,0.138,262.9468385707542,256.85336465196576,6.0934739187884475,True,True
PED-0005,VL,8,4.81,0.181,60.897007007629554,55.174806089886246,5.722200917743308,True,True
PED-0038,PEGE,57,1.43,0.149,279.348702078495,277.4089144865461,1.9397875919489138,True,True
PED-0025,PEGE,42,3.72,0.046,84.7555421192119,80.3341529050878,4.4213892141240905,True,True
PED-0045,VL,17,0.98,0.32,242.4856437955207,238.28150265217658,4.204141143344117,True,True
PED-0034,VL,25,4.54,0.335,20.37494223128371,15.444806339224069,4.930135892059642,True,True
PED-0050,PEGE,4,3.71,0.335,96.70766203836094,96.64594864188572,0.06171339647521279,True,True
PED-0016,VL,6,1.81,0.249,296.75835764331646,293.2104983592434,3.54785928407307,True,True
PED-0010,VL,0,2.74,0.171,240.99918089654682,231.88347755394787,9.115703342598948,True,True
PED-0017,PEGE,19,2.3,0.093,131.22657674001252,123.60228929962068,7.624287440391839,True,True
PED-0037,Exportacion,10,0.93,0.4,183.3262442766973,187.01754091209918,-3.6912966354018693,True,True
PED-0026,VL,41,0.18,0.124,42.513001973535104,38.09924277016897,4.4137592033661335,True,True
PED-0012,VL,52,0.83,0.205,271.85874573401554,268.34894128510854,3.509804448907005,True,True
PED-0001,VL,9,0.59,0.166,268.1235783434626,249.47148133430235,18.652097009160258,True,True
PED-0047,VL,20,0.87,0.207,65.24561167259657,59.199162267978096,6.046449404618471,True,True
PED-0028,VL,27,4.12,0.237,221.03167315107626,211.72966914305533,9.30200400802093,True,True
PED-0032,PEGE,10,2.81,0.316,96.63662570907417,77.40712367409341,19.229502034980754,True,True
PED-0040,PEGE,27,0.17,0.093,83.89227872509248,76.41981154781361,7.472467177278872,True,True
PED-0030,VL,4,2.12,0.11,135.7179239812406,114.37188058675996,21.346043394480645,True,True
PED-0046,VL,15,0.5,0.345,130.40720344308875,129.30750574839544,1.0996976946933046,True,True
PED-0036,VL,30,1.16,0.307,51.253251365659,33.92929250508687,17.323958860572127,True,True
PED-0048,PEGE,32,0.99,0.327,89.33476630322762,74.9088353219155,14.42593098131212,True,True
PED-0011,VL,0,3.49,0.206,64.07688791544709,63.704996479072456,0.3718914363746322,True,True
PED-0023,VL,2,4.23,0.4,242.52141428332465,225.68193072510397,16.839483558220678,True,True
PED-0021,VL,27,4.07,0.114,156.0982468665896,152.42777318904885,3.670473677540741,True,True
PED-0008,VL,0,0.5,0.34,266.8510625486257,250.68785223549298,16.16321031313271,True,True
PED-0043,VL,32,2.82,0.387,161.90664208618637,153.51568450564235,8.390957580544011,True,True
PED-0015,PEGE,0,4.4,0.366,185.56808822748675,170.05506101456336,15.51302721292339,True,True
PED-0028,PEGE,2,1.48,0.273,173.83403798481436,170.4901734533798,3.343864531434548,True,True
PED-0039,VL,24,3.91,0.242,13.504912442219355,14.57527223400418,-1.0703597917848242,True,True
